item_number,tot_bl_qty
018318-002-00001,1
001040-001-00540,7
012632-005-00620,-14
010193-029-03045,-2
013070-011-00190,3
013070-010-00190,3
084905-131-01030,4
084905-131-01150,3
010193-007-00525,3
010193-029-05053,3
013064-506-00001,6
009527-021-20715,2
012632-015-17016,105
007232-024-00820,1
009527-020-20715,1
004424-07001,2
012632-050-00820,1
013064-395-22176,2
013064-396-75076,11
004420-07002,1
012632-085-00820,1
012632-140-20820,4
012632-148-07576,1
013064-395-52176,3
013064-397-00076,4
053924-051-00820,0
012632-365-01090,1
008969-116-00520,4
003850-035-00750,2
003850-035-01500,8
003850-035-03000,24
011508-045-11422,4
012634-039-30001,11
013107-256-00450,2
013107-256-01350,2
014496-201-00001,2
014496-208-00001,2
014496-212-00001,2
014496-445-00007,6
014496-543-07505,2
014496-695-00001,6
015392-070-01500,1
000000-01831,4
000420-16722,3
004421-13033,1
009570-211-63000,1
011507-023-01500,1
011507-657-20000,2
012201-084-11410,1
012806-075-00145,4
014496-059-04504,1
014496-059-13504,1
014496-064-30001,9
014496-206-00001,2
014496-284-15225,4
014496-791-15001,1
0L4162-11500,8
0L7885-10015,4
0P7785-41298,12
0P7785-41448,4
0P7785-41648,2
0P7785-41898,74
004424-13001,1
013107-256-01950,1
014496-284-15152,2
003850-035-01350,1
012201-001-01500,8
014496-059-05504,1
014496-543-15005,1
014496-612-01500,3
015593-022-01427,1
015593-030-10600,1
015593-070-01800,6
096000-034-01422,1
0L0516-30650,2
0L7840-08015,1
0L7885-19015,1
014496-664-00600,3
014496-792-15001,1
015593-134-00001,1
0L0109-01550,1
0L4162-01500,12
0L7885-22015,1
0P7785-41548,1
003850-035-00400,1
003850-035-00550,2
003850-035-00850,2
004421-08033,1
011507-023-01000,1
011507-657-10000,1
011508-045-10922,1
014496-059-18001,1
014496-059-30001,6
014496-284-10225,2
014496-791-10001,1
0L4162-11000,6
014496-194-05002,1
015593-022-01127,1
004421-10033,1
014496-791-12001,1
011508-045-11122,1
014496-059-07504,0
014496-059-08004,0
014496-543-07005,2
014496-543-10005,0
000420-18237,2
014496-792-15002,0
009650-075-00001,4
009570-211-60750,0
003850-035-00700,0
003850-035-00800,0
003850-035-01000,0
0L7885-11515,0
000420-18263,1
003850-035-00900,2
004420-13001,1
014496-543-09005,1
014496-791-15002,3
014513-021-00082,0
012632-055-00820,0
004421-07033,0
012632-140-30820,0
012632-365-10090,1
013064-395-30176,0
012632-082-00820,0
053924-051-10820,1
012632-007-00560,-55
013064-973-10560,-1
075992-001-00558,-3
009249-682-21025,1
0L4178-01135,0
007232-026-00820,1
0L4178-01045,0
013064-917-10560,0
009249-681-21025,-1
007232-025-00820,-1
002315-21207,12
002763-00112,12
004420-05002,1
013064-395-07156,2
013064-395-37156,2
012632-085-00620,-2
012632-365-11060,0
053924-051-10620,-2
007232-024-00620,-1
009249-684-21013,-1
008967-003-00925,8
012632-140-20720,4
012632-365-10060,-1
013064-395-07166,2
013064-395-22166,2
053708-038-30001,2
053924-051-10720,2
012632-085-00720,2
075641-150-01577,1
012632-365-00090,-1
009249-683-21013,2
007232-023-00620,2
014513-075-23082,-1
014513-075-32082,1
014513-061-00076,0
014513-029-00001,0
009249-341-00520,2
009249-441-30052,0
009249-342-00520,-2
012632-057-06204,-2
002413-08020,-24
002760-00008,-8
004444-03400,-8
008969-106-00620,-1
012632-365-00045,3
053924-051-00620,-1
012632-092-06204,-1
012632-094-00150,-29
012632-095-00001,-4
012632-096-00140,-1
009249-461-45460,7
009249-458-00090,7
009249-462-00002,14
010193-001-00610,-8
009249-418-00520,-3
010193-026-00610,-1
009249-422-23004,-1
009249-465-00574,-1
012632-761-00001,-1
002322-06021,-10
002763-20008,-16
012632-141-10520,-9
012632-365-10130,-1
009249-466-00054,-5
009249-467-00055,-10
009249-494-20004,-1
012632-057-05204,-2
012632-092-05204,-1
013070-011-00090,-1
010226-010-20060,16
009201-624-11137,-1
011488-159-06210,-7
013064-395-22156,-9
010193-029-03083,-7
009249-678-20622,5
012632-169-60052,5
012632-168-60000,0
009249-461-30460,5
009249-458-00060,0
009249-459-00002,5
007232-024-00520,2
009249-684-20612,2
012632-365-01045,1
009249-441-30092,0
009249-442-30052,3
004518-00400,4
009249-442-30082,1
009249-442-31052,1
009249-418-00620,1
012632-958-00558,11
013064-917-00560,1
009249-434-00720,42
013064-998-00720,84
004552-06000,42
009249-436-00720,21
013064-687-00658,56
009249-436-10720,21
002412-01025,24
012632-223-00001,9
007811-005-00660,0
012632-005-00720,31
012632-885-00658,28
008969-010-00001,0
009249-637-20030,5
012632-005-01020,0
012632-007-00960,0
013064-917-00960,0
012632-958-00958,0
012632-997-01020,0
012632-007-00660,67
013064-917-10660,100
075992-001-00658,757
001040-001-00640,26
007011-02101,10
007011-07102,10
007397-089-10004,10
009249-403-06052,0
009249-380-00001,40
002439-06012,40
012632-964-00458,72
009249-683-20612,7
007232-023-00520,7
002322-06020,-24
001040-001-00440,-13
014513-060-00001,8
014513-075-32052,-5
012632-140-30520,7
014513-034-23052,6
007232-025-00720,-1
009249-681-21014,-1
012632-251-00460,5
008969-106-00520,-1
009249-418-00720,-3
012632-251-00660,4
012632-958-00658,24
009249-682-21014,1
007232-026-00720,1
009249-018-13052,-37
013064-936-00001,-37
009249-442-21052,1
009249-442-20062,1
012632-365-10045,4
009249-645-10045,1
013064-613-11062,-8
009249-627-00001,-128
013064-613-12062,8
005301-00303,24
000000-02945,128
024853-037-00001,128
012632-082-10520,0
007232-024-00720,-6
009249-684-21024,-6
010193-029-04083,-2
009249-678-20624,-5
009249-461-30660,-5
009249-459-00004,-5
012632-169-60072,-5
012632-847-30660,0
010193-029-03068,-5
010193-029-03075,-5
012632-885-00558,-705
007811-008-05506,-5
007811-005-00560,-15
0S2044-00022,0
009249-676-20614,5
012632-169-30072,5
010193-029-02045,1
010193-029-02060,2
009249-683-21024,6
010193-007-01200,6
007232-023-00720,6
009249-403-06072,5
009249-184-00720,5
012632-885-00758,775
010193-029-05105,5
010193-029-05083,5
010193-029-05060,5
010193-029-05045,5
012632-063-00820,5
007811-005-00760,20
007811-008-05508,0
010193-029-02038,-16
000420-16017,0
002419-10025,-10
004433-51033,-1
002763-00695,-4
009249-265-00001,-2
009249-431-00052,-1
012632-427-00520,-2
013064-473-00001,-12
007232-013-00520,-1
009249-260-02923,-6
009249-265-00002,-2
009249-431-10052,-1
009249-652-00045,-1
013064-407-00001,-1
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
