item_number,total_650_to_800
0L6069-23000,0
0L6069-23001,0
0L7701-02062,0
0L7701-02100,0
0L7701-02214,0
0L7701-02252,0
0L7701-02290,0
0L7701-02329,0
0L7701-02367,0
0L7701-02405,0
0L7701-02481,0
0L7701-02519,0
0L7701-05062,0
0L7701-05100,0
0L7701-05138,0
0L7701-05176,0
0L7701-05214,0
0L7701-05252,0
0L7701-05290,0
0L7701-05329,0
0L7701-05367,0
0L7701-05405,0
0L7701-05443,0
0L7701-05481,0
0L7701-05519,0
0L7701-06062,0
0L7701-06100,0
0L7701-06252,0
0L7701-06519,0
0L7701-07100,0
0L7701-07138,0
0L7701-08100,0
0L7819-00915,0
0L7819-01115,0
0L7819-01415,1
0L7840-04210,2
0L7840-05010,6
0L7840-06012,12
0L7840-08010,2
0L7840-08012,12
0L7840-08015,0
0L7840-11510,2
0L7848-00001,0
0L7885-10010,0
0L7885-10012,0
0L7885-10013,0
0L7885-10015,0
0L7885-11510,0
0L7885-11515,0
0L7885-13015,0
0L7885-14510,0
0L7885-14512,0
0L7885-16010,0
0L7885-16015,0
0L7885-17510,0
0L7885-17512,0
0L7885-17515,0
0L7885-19010,0
0L7885-19012,0
0L7885-19015,0
0L7885-20512,0
0L7885-20515,0
0L7885-22010,0
0L7885-22012,0
0L7885-22015,0
0L7885-22016,0
0L7885-23512,0
0L7885-23515,0
0L8574-10100,0
0L8574-10200,0
0L8574-13200,0
0L9021-00001,180
0P1873-00058,0
0P2271-00100,0
0P2271-00120,0
0P2271-00220,0
0P2271-00300,0
0P2271-00340,0
0P2271-10050,0
0P2271-10170,0
0P2271-10320,0
0P2271-30440,0
0P2271-30490,0
0P3076-00001,24
0P3321-00100,267
0P3321-00100C1F,6
0P3321-00300,195
0P3322-00300,222
0P5445-01000,0
0P5445-01300,0
0P5461-00001,0
0P5462-01500,0
0P5462-02250,0
0P5462-02700,0
0P5462-03000,0
0P5463-02250,0
0P5463-02700,0
0P5463-03000,0
0P5546-35130,4
0P7785-11298,2
0P7785-11448,2
0P7785-11548,0
0P7785-11598,0
0P7785-11648,2
0P7785-11898,4
0P7785-21298,4
0P7785-21448,8
0P7785-21498,0
0P7785-21548,0
0P7785-21598,0
0P7785-21648,0
0P7785-21898,6
0P7785-41298,0
0P7785-41448,2
0P7785-41548,0
0P7785-41598,1
0P7785-41648,1
0P7785-41898,12
0P8748-00030,0
0P8748-00045,0
0P8748-00090,0
0P8749-04510,0
0P8749-04514,0
0P8749-09010,0
0P8749-09012,0
0P8749-09014,0
0P8749-09020,0
0R0100-01045,132
0R0100-01945,42
0R0100-02995,88
0R0102-03400,0
0R0102-03800,0
0R0102-04200,0
0R0102-04600,0
0R0102-05000,0
0R0130-03150,0
0R0130-05400,8
0R6020-00167,0
0R8471-02250,0
0R8471-02700,0
0R8471-03000,0
0R8499-00001,0
0S2044-00022,16
0X0115-00022,0
N00001-01892,0
N01683-00004,572
N02004-00223,954
N02004-00224,711
N02376-00003,0
N02376-40001,483
N07802-001-31200,0
N07802-001-61200,0
N07802-001-61500,1
N23032-002-00001,192
N97500-145-00250,56
