Parent Itemnumber,Child Itemnumber,Item description,Itemnumber,Conversion,Conversion Required,,Points of Attention,Amazon,Used in Amazon,TEMP SubsetLookup,TEMP SubsetLookup NEW,Review Comment Dennis,VI Progress Status,VI Progress Status Comment,Spec Item,Parent Spec Item,Markcode,PDB item,Loeka --> ESOT lib,Conversion,OK to start,Started,Reference PartGroup Revision ,dotM: 026208 range,New Model ,Reviewed,Reviewed,Ready,Released,Fixed colour,Documentation,nldge,Total number of Objects,Unidentified Objects [0/1],Conversion Required = No [0/1],Conversion Required = Yes [0/1],Conversion Required =? [0/1],In Analysis,OK to start Conversion = Yes [0/1],In Progress [0/1],Ready for Release [0/1],Released [0/1],Total number of Objects,Unidentified Objects [0/1],Conversion Required = No [0/1],Conversion Required = Yes [0/1],Conversion Required =? [0/1],In Analysis,OK to start Conversion = Yes [0/1],In Progress [0/1],Ready for Release [0/1],Released [0/1]
000000-01529,,Cover for tray P31 WxHxL 100x19x2000mm,000000-01529,N/A,No,No Fixed Coloured Items,,Yes,,No,No,,,,,,,,,,,,,,,,,,,N/A,N/A,,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
000000-01628,,Main switch 400V 4p 63A 50kA screw terminal,000000-01628,N/A,No,No Fixed Coloured Items,,Yes,,No,No,,,,,,,,,,,,,,,,,,,N/A,N/A,,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
000000-01701,,Reflector tape 30x30mm self-adhesive,000000-01701,N/A,No,No Fixed Coloured Items,,Yes,,No,No,,,,,,,,,,,,,,,,,,,N/A,N/A,,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
000000-01706,,Outlet socket 1 plug 250V 13A green type G for UK,000000-01706,N/A,No,No Fixed Coloured Items,,Yes,,No,No,,,,,,,,,,,,,,,,,,,N/A,N/A,,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
000000-01708,,Modlink MSDD data insert 2x RJ45 8p metal CAT5e,000000-01708,N/A,No,No Fixed Coloured Items,,Yes,,No,No,,,,,,,,,,,,,,,,,,,N/A,N/A,,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
000000-01831,,Cover hood complete for KA57/KA67/FA57/SA67/KA39/KA49,000000-01831,N/A,No,No Fixed Coloured Items,,Yes,,No,No,,,,,,,,,,,,,,,,,,,N/A,N/A,,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
000000-01957,,Belt E8/2 U0/U10 S/LG-SE black W=800 endless,000000-01957,N/A,No,No Fixed Coloured Items,,No,,No,No,,,,Yes,-,,Yes,,,,,,,,,,,,N/A,N/A,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000000-01958,,Belt E8/2 U0/U10 S/LG-SE black W=800 prepared,000000-01958,N/A,No,No Fixed Coloured Items,,Yes,,No,No,,,,Yes,-,,Yes,,,,,,,,,,,,N/A,N/A,,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
000000-02188,,Bearing slide flange F2FM 6x8x6mm flange=?13mm (ESD-C),000000-02188,N/A,No,No Fixed Coloured Items,,Yes,,No,No,,,,,,,,,,,,,,,,,,,N/A,N/A,,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
000000-02205,,I/O Module Digital 4x I/O-Link and 8x input and 4x output / M12 ET200eco PN,000000-02205,N/A,No,No Fixed Coloured Items,,Yes,,No,No,,,,,,,,,,,,,,,,,,,N/A,N/A,,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
000000-02241,,"Tie-wrap 199x3,6mm black",000000-02241,N/A,No,No Fixed Coloured Items,,Yes,,No,No,,,,,,,,,,,,,,,,,,,N/A,N/A,,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
000000-02445,,"Nose piece monobolt ?4,8mm",000000-02445,N/A,No,No Fixed Coloured Items,,Yes,,No,No,,,,,,,,,,,,,,,,,,,N/A,N/A,,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
000000-02446,,"Jaw pusher SA ?4,8mm",000000-02446,N/A,No,No Fixed Coloured Items,,Yes,,No,No,,,,,,,,,,,,,,,,,,,N/A,N/A,,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
002416-10025,,Screw HS CS M10x25 ISO10642 CL10.9 flZn/nc/L/600H ISO10683,002416-10025,N/A,No,No Fixed Coloured Items,,No,,No,No,,,,Yes,-,,Yes,,,,,,,,,,,,N/A,N/A,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002763-00591,,Washer wide M8 ISO7093 St 200HV flZn/nc/L/600H ISO10683,002763-00591,N/A,No,No Fixed Coloured Items,,No,,No,No,,,,Yes,-,,Yes,,,,,,,,,,,,N/A,N/A,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002300-06100,,Bolt HH FT M6x100 ISO4017/DIN933 CL8.8 flZn/nc/L/480H ISO10683,002300-06100,N/A,No,No Fixed Coloured Items,,No,,No,No,,,,Yes,-,,Yes,,,,,,,,,,,,N/A,N/A,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002416-10030,,Screw HS CS M10x30 ISO10642 CL10.9 flZn/nc/L/600H ISO10683,002416-10030,N/A,No,No Fixed Coloured Items,,No,,No,No,,,,Yes,-,,Yes,,,,,,,,,,,,N/A,N/A,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002416-10050,,Screw HS CS M10x50 ISO10642 CL10.9 flZn/nc/L/600H ISO10683,002416-10050,N/A,No,No Fixed Coloured Items,,No,,No,No,,,,Yes,-,,Yes,,,,,,,,,,,,N/A,N/A,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002764-00203,,Washer lock spring M3 DIN127B Stainless steel (A2),002764-00203,N/A,No,No Fixed Coloured Items,,No,,No,No,,,,Yes,-,,Yes,,,,,,,,,,,,N/A,N/A,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002764-00204,,Washer lock spring M4 DIN127B Stainless steel (A2),002764-00204,N/A,No,No Fixed Coloured Items,,No,,No,No,,,,Yes,-,,Yes,,,,,,,,,,,,N/A,N/A,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002371-56104,,Nut hex lock Nyloc M4 ISO10511/DIN985 A2-070,002371-56104,N/A,No,No Fixed Coloured Items,,No,,No,No,,,,Yes,-,,Yes,,,,,,,,,,,,N/A,N/A,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002414-04016,,Screw HS M4x16 ISO4762 A2-070,002414-04016,N/A,No,No Fixed Coloured Items,,No,,No,No,,,,Yes,-,,Yes,,,,,,,,,,,,N/A,N/A,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002370-89216,,Nut hex M16 ISO4032/DIN934 CL8 flZn/nc/L/600H ISO10683,002370-89216,N/A,No,No Fixed Coloured Items,,No,,No,No,,,,Yes,-,,Yes,,,,,,,,,,,,N/A,N/A,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002416-08016,,Screw HS CS M8x16 ISO10642 CL10.9 flZn/nc/L/480H ISO10683,002416-08016,N/A,No,No Fixed Coloured Items,,No,,No,No,,,,Yes,-,,Yes,,,,,,,,,,,,N/A,N/A,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000000-02447,,"Mandrel guide ?4,8mm",000000-02447,N/A,No,No Fixed Coloured Items,,Yes,,No,No,,,,,,,,,,,,,,,,,,,N/A,N/A,,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
000000-02448,,Tool PB3400 with suitcase / charger / 2x battery (EU version) and special nose piece for monobolts,000000-02448,N/A,No,No Fixed Coloured Items,,Yes,,No,No,,,,,,,,,,,,,,,,,,,N/A,N/A,,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
000000-02459,,Network analyser Atlas 24Vdc RJ45 10/100/1000Mbit/s cable L=100m,000000-02459,N/A,No,No Fixed Coloured Items,,Yes,,No,No,,,,,,,,,,,,,,,,,,,N/A,N/A,,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
000000-02462,,"Programming unit M12 4p cable L=2,0m",000000-02462,N/A,No,No Fixed Coloured Items,,Yes,,No,No,,,,,,,,,,,,,,,,,,,N/A,N/A,,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
